"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"89","RT @bambkb: 🚨🚨🚨 🇺🇸 USA DMED database shows DISTURBING increases in morbidity after #Covid #Vaccine uptake :

Myocarditis 2800%

Various can…",FALSE,0,NA,2023-04-27 05:42:51,FALSE,NA,"1651461886808817664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CounsellMitch",184,TRUE,FALSE,NA,NA
"90","RT @FardiinFahad: Scientists discover an antibody that could neutralize all #Covid variants. https://t.co/WCQh8L8kAe",FALSE,0,NA,2023-04-27 05:42:28,FALSE,NA,"1651461793594630145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Germaine313",5,TRUE,FALSE,NA,NA
"91","@StevenBeschloss Biden is better than GOP candidates, but he lacks a LOT of competence &amp; empathy in handling #COVID… https://t.co/86p45t1TLl",FALSE,0,"StevenBeschloss",2023-04-27 05:41:13,TRUE,"1651401016942956544","1651461477969145857","81741855","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ellearee",0,FALSE,FALSE,NA,NA
"92","RT @deutsch365: 🛑🛑🦠🦠

#Covid ….. alles Theater ??? https://t.co/asUxPbeimA",FALSE,0,NA,2023-04-27 05:41:00,FALSE,NA,"1651461421769666561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","corneli74904158",5,TRUE,FALSE,NA,NA
"93","RT @Jim_Jordan: Fauci wasn’t honest about #COVID. 

And Biden’s ATF director wants to take your guns. 

Americans are tired of unelected “e…",FALSE,0,NA,2023-04-27 05:40:47,FALSE,NA,"1651461370154479616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lorytarver",1691,TRUE,FALSE,NA,NA
"94","RT @VivianCreekmore: The treason is thick in #Wisconsin.
Is there one honest #Republican?
@wisgop --
✔️Pushed #TheBigLie 
✔️Pressured VP Pe…",FALSE,0,NA,2023-04-27 05:40:38,FALSE,NA,"1651461331235618817",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RioHerring",25,TRUE,FALSE,NA,NA
"95","RT @SpectatorOz: 'Is this the way the #Covid vaccines end?' asks Rebecca Weisser.

This week, his brother Phil was one of over 500 people w…",FALSE,0,NA,2023-04-27 05:40:36,FALSE,NA,"1651461322033483781",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ellymelly",11,TRUE,FALSE,NA,NA
"96","Seriously, if someone is still denying that #COVID infection causes immune dysfunction, you really don't want to be… https://t.co/yUIf5I43Si",FALSE,0,NA,2023-04-27 05:40:11,TRUE,NA,"1651461217989345280",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LC_UK_Action",0,FALSE,FALSE,NA,NA
"97","RT @SpectatorOz: 'Is this the way the #Covid vaccines end?' asks Rebecca Weisser.

This week, his brother Phil was one of over 500 people w…",FALSE,0,NA,2023-04-27 05:39:53,FALSE,NA,"1651461142240456705",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JadedJourney",11,TRUE,FALSE,NA,NA
"98","Arcturus or XBB.1.16: What makes it an interesting COVID-19 Variant for WHO?

Read More: https://t.co/xIAWHUaBBL… https://t.co/aT0VKrdxoF",FALSE,2,NA,2023-04-27 05:39:47,TRUE,NA,"1651461118274183168",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","blrmagazine",0,FALSE,FALSE,NA,NA
"99","RT @deutsch365: 🛑🛑🦠🦠

#Covid ….. alles Theater ??? https://t.co/asUxPbeimA",FALSE,0,NA,2023-04-27 05:39:36,FALSE,NA,"1651461071444627456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MichaelKalke2",5,TRUE,FALSE,NA,NA
"100","RT @JP__75: Monash (BDI), the Doherty Institute with Uni of Melb &amp; The Royal Melb Hospital were the first to study ivermectin as a  treatme…",FALSE,0,NA,2023-04-27 05:39:12,FALSE,NA,"1651460971410653185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gvozdenac71",20,TRUE,FALSE,NA,NA
